M,36,170,60
M,21,190,83
M,26,190,95
M,22,165,48
M,27,195,95
M,22,157,48
F,23,165,57
F,27,165,57
F,35,165,57
M,27,188,89
M,24,176,60
M,26,175,81
M,24,173,77
F,17,159,51
M,21,170,58
M,21,170,94
M,25,170,94
M,36,170,70
M,40,170,70
M,23,184,68
F,19,160,46
M,23,194,96
M,22,167,63
M,26,207,90
M,24,170,63
M,19,170,63
M,23,170,63
F,22,173,60
F,26,173,60
M,22,170,80
M,26,170,80
M,27,176,56
M,30,178,66
M,34,178,66
M,19,177,65
M,23,177,65
M,21,170,57
M,25,170,57
M,23,178,61
M,27,178,61
M,31,178,61
M,35,178,61
M,19,169,74
M,23,169,74
M,27,169,74
M,17,NA,NA
F,21,173,59
M,24,183,75
M,26,176,60
M,23,185,67
M,29,175,85
M,22,165,60
M,19,180,76
M,23,180,76
M,25,NA,71
F,27,180,67
M,23,188,78
M,30,165,60
F,17,147,50
M,24,184,70
M,22,180,73
M,24,163,61
M,28,163,61
F,19,160,53
F,27,160,53
M,23,172,90
M,27,172,90
M,19,175,55
M,30,180,117.5
M,34,180,117.5
M,22,169,65
M,NA,NA,82
M,23,169,60
M,20,156,59
M,17,176,68
M,17,168,54
F,14,NA,NA
M,26,172,70
M,34,178,74
M,30,175,80
M,NA,175,85
M,29,174,55
M,24,173,64
M,38,169,91
M,23,181,72
F,22,163,56
F,26,163,56
M,NA,178,70
M,NA,177,68
M,NA,160,52
M,24,180,72
M,39,NA,NA
F,32,158,58
M,21,185,80
M,22,175,75
M,21,172,66
M,25,172,66
F,22,180,59
F,26,166,61
M,26,160,62
M,24,181,73
M,27,164,55
M,20,184,79
M,31,187,83
M,32,NA,88
M,NA,176,66
M,NA,165,65
M,NA,180,76
M,21,188,77
M,25,188,77
F,25,NA,NA
M,NA,190,75
M,28,188,91
M,27,164,60
M,32,164,60
M,22,169,63
M,26,169,63
M,22,190,130
M,26,190,130
M,25,167,55
M,29,167,55
M,33,167,55
F,21,170,47
M,27,175,74
M,16,177,NA
F,16,162,72
F,20,162,72
M,23,168,68
M,20,168,62
F,15,170,59
F,19,170,59
M,18,150,60
M,19,181,66
M,23,181,66
M,33,178,74
M,21,162,69
M,25,162,69
M,23,202,104
M,22,178,73
M,19,183,74
M,23,183,74
M,26,172,74
M,29,192,117
M,26,172,60
M,26,170,84
M,30,170,84
M,34,170,84
M,NA,179,76
M,26,190,125
M,34,190,125
M,24,174,72
M,32,174,72
M,18,162,54
M,24,177,75
M,24,178,67
M,28,178,67
M,25,166,69
M,25,167,62
M,22,175,64
M,26,175,64
M,23,173,68
M,24,178,70
M,28,178,70
M,21,179,91
M,29,179,91
M,26,166,57
M,21,190,80
M,25,190,80
M,29,190,80
F,18,168,60
M,31,175,67
M,22,177,75
F,NA,NA,NA
M,21,160,50
M,22,173,62
M,23,170,51
F,35,NA,NA
M,27,180,83
M,31,180,83
M,22,194,92
M,26,194,92
F,19,169,48
M,19,190,73
M,45,NA,NA
F,20,163,52
M,23,185,102
M,19,183,80
M,23,183,80
F,19,160,48
F,16,160,62
F,20,160,62
F,24,160,62
F,25,165,55
F,25,163,46
F,29,163,46
M,36,NA,NA
M,48,NA,NA
M,52,NA,NA
F,28,NA,62
M,22,184,85
M,30,184,85
F,18,153,48
M,15,NA,NA
M,22,176,66
M,37,174,63
F,23,173,61
M,22,166,58
M,24,192,68
M,27,186,84
M,30,186,84
M,34,186,84
M,23,181,76
M,19,181,78
F,17,190,73
F,30,170,60
M,27,181,78
M,23,187,75
F,34,165,75
F,38,165,75
F,40,165,75
F,44,165,75
F,48,165,75
M,22,182,84
F,17,NA,NA
F,29,NA,NA
M,24,173,66
F,21,159,40
F,25,159,40
F,30,160,53
M,20,180,74
M,24,166,52
M,26,180,80
M,30,180,80
M,42,180,80
M,23,177,68
M,27,177,68
M,31,177,68
M,21,179,63
F,19,156,46
M,22,179,72
F,27,160,78
M,19,169,62
F,24,173,53
F,27,162,56
M,25,172,82
M,29,172,82
F,27,168,60
F,31,168,60
F,24,159,54
M,35,170,68
M,28,159,54
M,32,159,54
F,22,150,43
F,26,164,58
M,29,163,48
F,21,175,75
M,22,169,68
M,26,169,68
M,30,169,68
M,32,NA,NA
M,19,182,68
M,19,161,62
M,24,161,62
F,24,174,62
F,23,182,78
M,20,176,70
F,17,170,53
M,22,190,78
M,26,175,61
F,19,169,60
F,17,166,60
M,25,168,59
M,30,197,92
M,27,210,88
M,28,170,64
M,32,170,64
M,24,175,74
M,25,186,86
M,33,186,86
M,41,186,86
M,27,188,85
M,29,205,102
M,20,168,54
M,30,181,76
M,30,182,79
M,22,187,82
M,30,187,82
M,42,NA,NA
M,21,170,48
M,20,171,65
M,21,190,65
M,25,190,65
M,22,170,51
M,22,178,67
M,31,180,64
M,28,183,85
M,21,188,87
M,25,188,87
M,26,178,81
M,33,182,77
M,22,193,78
F,24,174,68
M,25,186,84
M,21,192,88
M,25,192,88
M,17,175,64
M,21,175,64
F,19,170,62
M,33,178,61
F,19,167,53
F,23,167,53
F,27,167,53
F,31,167,53
F,21,180,70
M,25,191,84
M,29,191,84
M,33,191,84
M,29,178,68
M,23,173,65
M,20,183,75
M,19,183,87
M,23,183,87
M,26,162,67
M,24,190,88
M,28,190,88
M,24,187,77
M,22,172,61
M,28,180,72
M,33,180,72
M,24,185,81
M,21,193,87
M,17,176,82
M,21,176,82
M,25,176,82
F,28,182,95
M,17,180,82
M,21,180,82
M,25,180,82
M,22,181,80
M,26,181,80
F,16,167,43
M,31,175,70
M,23,181,84
M,27,181,84
M,24,180,100
M,24,176,70
M,30,164,59
M,25,198,89
M,34,180,94
M,23,173,61
F,21,172,63
F,24,171,60
F,23,167,65
F,27,167,65
M,29,180,72
M,27,182,96
F,19,163,53
M,32,180,70
M,22,183,NA
M,25,183,NA
M,31,186,115
M,20,176,68
M,24,176,68
M,28,176,68
M,21,183,72
M,25,183,72
M,26,174,68
M,19,187,81
F,16,NA,NA
M,22,172,70
M,26,184,73
M,21,183,84
M,27,183,84
M,31,183,84
M,22,183,73
M,20,160,54
M,26,185,75
M,20,159,64
M,40,188,73
M,18,176,78
M,23,200,88
M,24,177,71
M,15,177,64
M,19,177,64
M,24,174,68
F,34,164,52
F,38,164,52
F,22,162,50
M,23,198,93
M,21,180,70
F,26,164,51
F,20,188,77
F,28,188,77
F,26,NA,NA
M,22,168,68
M,23,180,68
M,27,180,68
M,31,180,68
M,35,180,68
M,21,168,62
M,24,180,59
M,31,178,85
F,26,178,61
M,25,179,68
F,25,160,57
M,27,173,74
M,27,180,79
M,28,168,67
M,32,168,67
M,33,180,76
M,28,172,72
M,16,178,69
M,19,178,69
M,23,165,54
M,18,172,63
M,22,172,63
F,19,157,52
M,22,182,75
M,24,170,59
F,17,150,64
M,20,190,80
M,21,182,77
M,25,182,77
M,23,NA,85
M,20,178,68
F,18,170,58
F,22,148,46
F,26,148,46
M,23,170,67
M,28,183,68
F,22,180,70
M,23,177,72
M,25,163,65
M,27,163,51
M,28,161,60
M,21,189,81
M,25,189,81
M,20,170,62
M,25,168,56
M,29,168,56
M,14,181,77
M,19,185,80
F,27,175,56
F,31,175,56
M,NA,170,78
M,21,175,67
M,25,175,67
F,16,150,40
M,22,194,125
M,26,194,125
M,24,194,104
F,24,170,62
F,28,170,62
M,20,176,82
M,24,176,82
M,26,176,82
M,30,176,82
M,34,176,82
M,31,190,95
M,23,167,58
M,23,190,74
F,22,160,55
M,21,176,67
M,22,NA,67
